INFO: 2025/04/25 17:27:27 proxy.go:480: Mic OFF: 0046 (ID: 46)
INFO: 2025/04/25 17:27:27 proxy.go:480: Mic OFF: 0001 (ID: 1)
INFO: 2025/04/25 17:27:27 proxy.go:480: Mic OFF: 0026 (ID: 26)
INFO: 2025/04/25 17:27:27 proxy.go:480: Mic OFF: 0027 (ID: 27)
INFO: 2025/04/25 17:27:28 proxy.go:445: Mic ON: 0001 (ID: 1)
INFO: 2025/04/25 17:27:29 proxy.go:445: Mic ON: 0002 (ID: 2)
INFO: 2025/04/25 17:27:29 proxy.go:445: Mic ON: 0026 (ID: 26)
INFO: 2025/04/25 17:27:29 proxy.go:445: Mic ON: 0027 (ID: 27)
INFO: 2025/04/25 17:27:29 proxy.go:445: Mic ON: 0046 (ID: 46)
INFO: 2025/04/25 17:28:10 proxy.go:181: Client 1 connected: 192.168.88.197:64839
INFO: 2025/04/25 17:28:19 proxy.go:480: Mic OFF: 0002 (ID: 2)
INFO: 2025/04/25 17:28:34 proxy.go:480: Mic OFF: 0001 (ID: 1)
INFO: 2025/04/25 17:28:45 proxy.go:445: Mic ON: 0005 (ID: 5)
INFO: 2025/04/25 17:28:53 proxy.go:480: Mic OFF: 0026 (ID: 26)
INFO: 2025/04/25 17:28:53 proxy.go:480: Mic OFF: 0005 (ID: 5)
INFO: 2025/04/25 17:28:53 proxy.go:480: Mic OFF: 0027 (ID: 27)
INFO: 2025/04/25 17:28:53 proxy.go:480: Mic OFF: 0046 (ID: 46)
INFO: 2025/04/25 17:28:54 proxy.go:445: Mic ON: 0005 (ID: 5)
INFO: 2025/04/25 17:28:54 proxy.go:445: Mic ON: 0006 (ID: 6)
INFO: 2025/04/25 17:28:54 proxy.go:445: Mic ON: 0026 (ID: 26)
INFO: 2025/04/25 17:28:54 proxy.go:445: Mic ON: 0027 (ID: 27)
INFO: 2025/04/25 17:28:55 proxy.go:445: Mic ON: 0046 (ID: 46)
INFO: 2025/04/25 17:29:40 proxy.go:204: Client 1 disconnected: 192.168.88.197:64839
INFO: 2025/04/25 17:33:50 proxy.go:560: TCP Server initializing...
INFO: 2025/04/25 17:33:50 proxy.go:596: Listening on port 20001
INFO: 2025/04/25 17:33:50 proxy.go:445: Mic ON: 0005 (ID: 5)
INFO: 2025/04/25 17:33:50 proxy.go:445: Mic ON: 0006 (ID: 6)
INFO: 2025/04/25 17:33:50 proxy.go:445: Mic ON: 0026 (ID: 26)
INFO: 2025/04/25 17:33:50 proxy.go:445: Mic ON: 0027 (ID: 27)
INFO: 2025/04/25 17:33:50 proxy.go:445: Mic ON: 0046 (ID: 46)
INFO: 2025/04/25 17:34:09 proxy.go:483: Mic OFF: 0046 (ID: 46)
INFO: 2025/04/25 17:34:09 proxy.go:483: Mic OFF: 0005 (ID: 5)
INFO: 2025/04/25 17:34:09 proxy.go:483: Mic OFF: 0006 (ID: 6)
INFO: 2025/04/25 17:34:09 proxy.go:483: Mic OFF: 0026 (ID: 26)
INFO: 2025/04/25 17:34:09 proxy.go:483: Mic OFF: 0027 (ID: 27)
INFO: 2025/04/25 17:34:10 proxy.go:445: Mic ON: 0001 (ID: 1)
INFO: 2025/04/25 17:34:10 proxy.go:445: Mic ON: 0005 (ID: 5)
INFO: 2025/04/25 17:34:10 proxy.go:445: Mic ON: 0006 (ID: 6)
INFO: 2025/04/25 17:34:10 proxy.go:445: Mic ON: 0026 (ID: 26)
INFO: 2025/04/25 17:34:10 proxy.go:445: Mic ON: 0027 (ID: 27)
INFO: 2025/04/25 17:34:10 proxy.go:445: Mic ON: 0046 (ID: 46)
INFO: 2025/04/25 17:34:24 proxy.go:445: Mic ON: 0002 (ID: 2)
INFO: 2025/04/25 17:34:32 proxy.go:483: Mic OFF: 0006 (ID: 6)
INFO: 2025/04/25 17:34:32 proxy.go:483: Mic OFF: 0026 (ID: 26)
INFO: 2025/04/25 17:34:32 proxy.go:483: Mic OFF: 0027 (ID: 27)
INFO: 2025/04/25 17:34:32 proxy.go:483: Mic OFF: 0046 (ID: 46)
INFO: 2025/04/25 17:34:32 proxy.go:483: Mic OFF: 0001 (ID: 1)
INFO: 2025/04/25 17:34:32 proxy.go:483: Mic OFF: 0002 (ID: 2)
INFO: 2025/04/25 17:34:32 proxy.go:483: Mic OFF: 0005 (ID: 5)
INFO: 2025/04/25 17:34:33 proxy.go:445: Mic ON: 0001 (ID: 1)
INFO: 2025/04/25 17:34:33 proxy.go:445: Mic ON: 0002 (ID: 2)
INFO: 2025/04/25 17:34:33 proxy.go:445: Mic ON: 0003 (ID: 3)
INFO: 2025/04/25 17:34:33 proxy.go:445: Mic ON: 0005 (ID: 5)
INFO: 2025/04/25 17:34:33 proxy.go:445: Mic ON: 0006 (ID: 6)
INFO: 2025/04/25 17:34:33 proxy.go:445: Mic ON: 0026 (ID: 26)
INFO: 2025/04/25 17:34:33 proxy.go:445: Mic ON: 0027 (ID: 27)
INFO: 2025/04/25 17:34:33 proxy.go:445: Mic ON: 0046 (ID: 46)
INFO: 2025/04/25 17:37:38 proxy.go:483: Mic OFF: 0046 (ID: 46)
INFO: 2025/04/25 17:37:38 proxy.go:483: Mic OFF: 0001 (ID: 1)
INFO: 2025/04/25 17:37:38 proxy.go:483: Mic OFF: 0002 (ID: 2)
INFO: 2025/04/25 17:37:38 proxy.go:483: Mic OFF: 0003 (ID: 3)
INFO: 2025/04/25 17:37:38 proxy.go:483: Mic OFF: 0005 (ID: 5)
INFO: 2025/04/25 17:37:38 proxy.go:483: Mic OFF: 0006 (ID: 6)
INFO: 2025/04/25 17:37:38 proxy.go:483: Mic OFF: 0026 (ID: 26)
INFO: 2025/04/25 17:37:38 proxy.go:483: Mic OFF: 0027 (ID: 27)
INFO: 2025/04/25 17:37:59 proxy.go:445: Mic ON: 0001 (ID: 1)
INFO: 2025/04/25 17:37:59 proxy.go:445: Mic ON: 0002 (ID: 2)
INFO: 2025/04/25 17:37:59 proxy.go:445: Mic ON: 0003 (ID: 3)
INFO: 2025/04/25 17:37:59 proxy.go:445: Mic ON: 0005 (ID: 5)
INFO: 2025/04/25 17:37:59 proxy.go:445: Mic ON: 0006 (ID: 6)
INFO: 2025/04/25 17:37:59 proxy.go:445: Mic ON: 0026 (ID: 26)
INFO: 2025/04/25 17:37:59 proxy.go:445: Mic ON: 0027 (ID: 27)
INFO: 2025/04/25 17:37:59 proxy.go:445: Mic ON: 0046 (ID: 46)
INFO: 2025/04/25 17:44:21 proxy.go:486: TCP Server initializing...
INFO: 2025/04/25 17:44:21 proxy.go:522: Listening on port 20001
INFO: 2025/04/25 17:44:21 proxy.go:377: Mic ON: 0001 (ID: 1)
INFO: 2025/04/25 17:44:21 proxy.go:377: Mic ON: 0002 (ID: 2)
